category,subcategory,command,syntax,description,example,parameters,notes,use_case,related_commands
Analysis Issues,Operating Point Problems,check_operating_point,.op,DC operating point calculation fails,Verify all DC sources and connections,Circuit biasing,Check for floating nodes,Initial condition problems,bias_analysis
Analysis Issues,Noise Analysis Setup,setup_noise_analysis,.noise v(out) V1 dec 10 1 1meg,Noise analysis configuration issues,Configure noise analysis parameters,Input and output nodes,Specify noise source,Circuit noise characterization,noise_modeling
File Issues,Project Won't Open,repair_project,File → Recent Projects,eSim project file corrupted,Restore from backup or recreate,Project file integrity,Regular project backups,Lost work recovery,backup_restore
File Issues,Save Errors,fix_save_permissions,Change file permissions,Cannot save project files,Check folder write permissions,File system permissions,Save to user directory,Permission denied errors,file_permissions
File Issues,Import Errors,fix_import,File → Import,Cannot import external files,Check file format and encoding,Supported file formats,Convert files if necessary,External file integration,format_conversion
File Issues,Export Problems,troubleshoot_export,File → Export,File export functionality not working,Verify export format and destination,Export options and formats,Check write permissions,Data sharing and backup,file_output
Mixed Signal Issues,NGHDL Setup,configure_nghdl,NGHDL → Configuration,Mixed-signal simulation setup problems,Configure Verilog/VHDL compiler paths,Compiler installation paths,Install GHDL and Verilator,Digital simulation not working,digital_setup
Mixed Signal Issues,Interface Errors,debug_interface,Check log files,Analog-digital interface problems,Verify interface component connections,Interface component parameters,Check simulation log for errors,Mixed-signal coupling issues,simulation_log
Mixed Signal Issues,Digital Logic Problems,check_digital_logic,Verify logic levels,Digital components not behaving correctly,Check logic threshold and timing,Logic family specifications,Ensure proper power supply,Digital circuit design,logic_verification
Mixed Signal Issues,Clock Signal Issues,fix_clock_signals,Check clock sources,Clock signals not propagating,Verify clock source and distribution,Clock frequency and duty cycle,Avoid clock skew problems,Sequential circuit timing,timing_analysis
Export Issues,Gerber Generation,fix_gerber,File → Plot,PCB Gerber files not generated correctly,Check layer setup and plot settings,Layer selection and format,Verify plot output directory,Manufacturing file problems,plot_settings
Export Issues,Netlist Export,export_debug,File → Export → Netlist,Netlist export fails or incomplete,Check component models and connections,Export format selection,Validate netlist before export,External tool integration,netlist_validation
Export Issues,BOM Generation,generate_bom,Tools → Generate BOM,Bill of Materials not generating,Check component properties and values,Component attributes,Ensure all parts have part numbers,Manufacturing documentation,parts_list
Export Issues,3D Model Export,export_3d,File → Export → 3D,3D model export not working,Verify 3D models assigned to footprints,3D model libraries,Check export format settings,Mechanical design integration,cad_integration
System Issues,Display Problems,fix_display,System display settings,GUI elements not displaying correctly,Adjust system scaling or resolution,Display configuration,Check graphics drivers,High DPI displays,graphics_setup
System Issues,Font Issues,configure_fonts,System font settings,Text not readable in interface,Install required fonts or change settings,Font configuration,Restart after font changes,Text rendering problems,system_fonts
System Issues,Audio Problems,fix_audio,System audio settings,No sound from simulation alerts,Check system audio configuration,Audio device settings,Enable system sounds,User feedback and alerts,audio_configuration
System Issues,Keyboard Shortcuts,configure_shortcuts,Edit → Preferences,Keyboard shortcuts not working,Check shortcut key assignments,Key binding configuration,Avoid conflicts with system shortcuts,Workflow efficiency,hotkey_setup
Integration Issues,KiCad Version,kicad_compatibility,Check KiCad version,KiCad integration not working,Ensure compatible KiCad version,Version compatibility matrix,Update or downgrade KiCad,Schematic editor issues,version_management
Integration Issues,Ngspice Path,ngspice_setup,Configure Ngspice path,Ngspice simulation engine not found,Set correct Ngspice installation path,Executable file location,Verify Ngspice installation,Simulation engine errors,tool_configuration
Integration Issues,Python Dependencies,install_python_deps,pip install required_packages,Python scripts not executing,Install required Python packages,Package requirements,Use virtual environment,Script automation features,python_setup
Integration Issues,MATLAB Interface,setup_matlab,Configure MATLAB path,MATLAB integration not working,Set MATLAB installation directory,MATLAB toolbox requirements,Check license availability,Advanced analysis features,matlab_configuration
Update Issues,Version Update Failed,manual_update,Download latest version,eSim update process fails,Uninstall old version then reinstall,Clean installation process,Backup projects before update,Update mechanism broken,clean_install
Update Issues,Configuration Lost,restore_config,Copy configuration files,Settings lost after update,Restore configuration from backup,Configuration file locations,Export settings before update,Personalized settings missing,config_backup
Update Issues,Plugin Compatibility,check_plugins,Verify plugin versions,Plugins not working after update,Check plugin compatibility with new version,Plugin version requirements,Update or disable incompatible plugins,Extended functionality issues,plugin_management
Network Issues,Download Failures,check_network,Network connectivity test,Cannot download models or updates,Check internet connection and firewall,Network configuration,Use alternative download methods,Resource download problems,proxy_settings
Network Issues,Proxy Configuration,setup_proxy,Configure proxy settings,Behind corporate firewall,Set proxy in system and eSim settings,Proxy server details,Contact IT for proxy information,Corporate network restrictions,network_configuration
Network Issues,SSL Certificate Errors,fix_ssl,Update certificates,SSL certificate validation failures,Update system certificates or bypass SSL,Certificate management,Consult IT administrator,Secure connection problems,security_configuration
Documentation Issues,Help Not Available,access_help,Online documentation,Built-in help system not working,Visit eSim FOSSEE website for documentation,Internet connection required,Bookmark important documentation,Learning eSim usage,online_resources
Documentation Issues,Tutorial Problems,alternative_tutorials,Spoken Tutorial website,Video tutorials not playing,Use alternative browsers or players,Media player requirements,Download tutorials for offline use,Learning specific features,video_playback
Documentation Issues,Missing Examples,find_examples,Example projects directory,Cannot find example circuits,Look in installation examples folder,Example file locations,Download examples from website,Learning circuit design,sample_projects
Educational Issues,Learning Curve,structured_learning,Follow tutorial sequence,New users finding eSIM difficult,Start with basic circuits and tutorials,Progressive difficulty levels,Practice with simple examples first,Academic learning support,tutorial_progression
Educational Issues,Assignment Help,academic_support,Contact instructor,Students need help with assignments,Provide guidance on circuit analysis,Academic context understanding,Encourage independent learning,Classroom integration,instructor_resources
Educational Issues,Lab Setup,configure_lab,Multi-user environment,Setting up eSIM for laboratory use,Configure shared resources and accounts,Network and user management,Plan for concurrent users,Educational institution deployment,lab_management
Feature Requests,New Components,request_component,Community forum,Need component not in library,Submit component request to developers,Component specifications,Consider creating custom model,Expanding component library,community_contribution
Feature Requests,Analysis Types,request_analysis,Feature request form,Need analysis type not available,Request new analysis capability,Analysis requirements,Use existing tools as workaround,Advanced simulation needs,development_roadmap
Bug Reports,Crash Reports,report_crash,GitHub Issues → Bug Report,eSim crashes unexpectedly,Document steps to reproduce crash,Crash dump information,Include system information,Getting help from developers,log_analysis
Bug Reports,Feature Requests,request_feature,GitHub Issues → Feature Request,Need functionality not available,Describe desired feature clearly,Use case explanation,Check existing feature requests,Suggesting improvements,community_feedback
Bug Reports,Simulation Inaccuracy,report_accuracy,Compare with known results,Simulation results seem incorrect,Verify with hand calculations or other tools,Expected vs actual results,Check model accuracy and parameters,Result validation concerns,verification_methods
Troubleshooting,Log Analysis,check_logs,View → Log Files,Need to diagnose simulation problems,Examine log files for error messages,Log file locations and formats,Look for warning and error messages,Debugging simulation issues,error_diagnosis
Troubleshooting,Component Testing,isolate_component,Test individual components,Circuit not working as expected,Test components individually,Component isolation techniques,Use simple test circuits,Systematic debugging approach,debug_strategy
Troubleshooting,Backup Recovery,restore_backup,File → Restore,Lost work due to system crash,Restore from automatic or manual backups,Backup file locations,Enable automatic backup feature,Data recovery and protection,data_safety
Advanced Features,Parametric Analysis,setup_parametric,.step param R 1k 10k 1k,Need to vary component values,Set up parameter sweep analysis,Parameter ranges and steps,Use .step command for sweeps,Design optimization studies,optimization_analysis
Advanced Features,Monte Carlo Analysis,monte_carlo_setup,.mc 100,Analyze circuit with component tolerances,Set up Monte Carlo statistical analysis,Number of iterations,Define component variations,Statistical design analysis,statistical_modeling
Advanced Features,Worst Case Analysis,worst_case_setup,.wcase,Find worst case circuit performance,Configure worst case analysis parameters,Component tolerance limits,Identify critical components,Robustness analysis,reliability_analysis
